Date,Mark/Gold
1919-10-20,6.024096385542169
1919-10-21,6.024096385542169
1919-10-22,6.024096385542169
1919-10-23,6.024096385542169
1919-10-24,6.024096385542169
1919-10-25,6.024096385542169
1919-10-26,6.024096385542169
1919-10-27,6.024096385542169
1919-10-28,6.024096385542169
1919-10-29,6.024096385542169
1919-10-30,6.024096385542169
1919-10-31,6.024096385542169
1919-11-01,7.936507936507937
1919-11-02,7.936507936507937
1919-11-03,7.936507936507937
1919-11-04,7.936507936507937
1919-11-05,7.936507936507937
1919-11-06,7.936507936507937
1919-11-07,7.936507936507937
1919-11-08,7.936507936507937
1919-11-09,7.936507936507937
1919-11-10,7.936507936507937
1919-11-11,7.936507936507937
1919-11-12,7.936507936507937
1919-11-13,7.936507936507937
1919-11-14,7.936507936507937
1919-11-15,7.936507936507937
1919-11-16,7.936507936507937
1919-11-17,7.936507936507937
1919-11-18,7.936507936507937
1919-11-19,7.936507936507937
1919-11-20,7.936507936507937
1919-11-21,7.936507936507937
1919-11-22,7.936507936507937
1919-11-23,7.936507936507937
1919-11-24,7.936507936507937
1919-11-25,7.936507936507937
1919-11-26,7.936507936507937
1919-11-27,7.936507936507937
1919-11-28,7.936507936507937
1919-11-29,7.936507936507937
1919-11-30,7.936507936507937
1919-12-01,9.615384615384615
1919-12-02,9.615384615384615
1919-12-03,9.615384615384615
1919-12-04,9.615384615384615
1919-12-05,9.615384615384615
1919-12-06,9.615384615384615
1919-12-07,9.615384615384615
1919-12-08,9.615384615384615
1919-12-09,9.615384615384615
1919-12-10,9.615384615384615
1919-12-11,9.615384615384615
1919-12-12,9.615384615384615
1919-12-13,9.615384615384615
1919-12-14,9.615384615384615
1919-12-15,9.615384615384615
1919-12-16,9.615384615384615
1919-12-17,9.615384615384615
1919-12-18,9.615384615384615
1919-12-19,9.615384615384615
1919-12-20,9.615384615384615
1919-12-21,9.615384615384615
1919-12-22,9.615384615384615
1919-12-23,9.615384615384615
1919-12-24,9.615384615384615
1919-12-25,9.615384615384615
1919-12-26,9.615384615384615
1919-12-27,9.615384615384615
1919-12-28,9.615384615384615
1919-12-29,9.615384615384615
1919-12-30,9.615384615384615
1919-12-31,9.615384615384615
1920-01-01,10.341261633919338
1920-01-02,10.341261633919338
1920-01-03,10.341261633919338
1920-01-04,10.341261633919338
1920-01-05,10.341261633919338
1920-01-06,10.341261633919338
1920-01-07,10.341261633919338
1920-01-08,10.341261633919338
1920-01-09,10.341261633919338
1920-01-10,10.341261633919338
1920-01-11,12.903225806451612
1920-01-12,12.903225806451612
1920-01-13,12.903225806451612
1920-01-14,12.903225806451612
1920-01-15,12.903225806451612
1920-01-16,12.903225806451612
1920-01-17,12.903225806451612
1920-01-18,12.903225806451612
1920-01-19,12.903225806451612
1920-01-20,12.903225806451612
1920-01-21,17.36111111111111
1920-01-22,17.36111111111111
1920-01-23,17.36111111111111
1920-01-24,17.36111111111111
1920-01-25,17.36111111111111
1920-01-26,17.36111111111111
1920-01-27,17.36111111111111
1920-01-28,17.36111111111111
1920-01-29,17.36111111111111
1920-01-30,17.36111111111111
1920-01-31,17.36111111111111
1920-02-01,20.408163265306122
1920-02-02,20.408163265306122
1920-02-03,20.408163265306122
1920-02-04,20.408163265306122
1920-02-05,20.408163265306122
1920-02-06,20.408163265306122
1920-02-07,20.408163265306122
1920-02-08,20.408163265306122
1920-02-09,20.408163265306122
1920-02-10,20.408163265306122
1920-02-11,19.762845849802375
1920-02-12,19.762845849802375
1920-02-13,19.762845849802375
1920-02-14,19.762845849802375
1920-02-15,19.762845849802375
1920-02-16,19.762845849802375
1920-02-17,19.762845849802375
1920-02-18,19.762845849802375
1920-02-19,19.762845849802375
1920-02-20,19.762845849802375
1920-02-21,20.576131687242796
1920-02-22,20.576131687242796
1920-02-23,20.576131687242796
1920-02-24,20.576131687242796
1920-02-25,20.576131687242796
1920-02-26,20.576131687242796
1920-02-27,20.576131687242796
1920-02-28,20.576131687242796
1920-02-29,20.576131687242796
1920-03-01,20.533880903490758
1920-03-02,20.533880903490758
1920-03-03,20.533880903490758
1920-03-04,20.533880903490758
1920-03-05,20.533880903490758
1920-03-06,20.533880903490758
1920-03-07,20.533880903490758
1920-03-08,20.533880903490758
1920-03-09,20.533880903490758
1920-03-10,20.533880903490758
1920-03-11,16.33986928104575
1920-03-12,16.33986928104575
1920-03-13,16.33986928104575
1920-03-14,16.33986928104575
1920-03-15,16.33986928104575
1920-03-16,16.33986928104575
1920-03-17,16.33986928104575
1920-03-18,16.33986928104575
1920-03-19,16.33986928104575
1920-03-20,16.33986928104575
1920-03-21,17.271157167530223
1920-03-22,17.271157167530223
1920-03-23,17.271157167530223
1920-03-24,17.271157167530223
1920-03-25,17.271157167530223
1920-03-26,17.271157167530223
1920-03-27,17.271157167530223
1920-03-28,17.271157167530223
1920-03-29,17.271157167530223
1920-03-30,17.271157167530223
1920-03-31,17.271157167530223
1920-04-01,14.285714285714286
1920-04-02,14.285714285714286
1920-04-03,14.285714285714286
1920-04-04,14.285714285714286
1920-04-05,14.285714285714286
1920-04-06,14.285714285714286
1920-04-07,14.285714285714286
1920-04-08,14.285714285714286
1920-04-09,14.285714285714286
1920-04-10,14.285714285714286
1920-04-11,14.30615164520744
1920-04-12,14.30615164520744
1920-04-13,14.30615164520744
1920-04-14,14.30615164520744
1920-04-15,14.30615164520744
1920-04-16,14.30615164520744
1920-04-17,14.30615164520744
1920-04-18,14.30615164520744
1920-04-19,14.30615164520744
1920-04-20,14.30615164520744
1920-04-21,14.084507042253522
1920-04-22,14.084507042253522
1920-04-23,14.084507042253522
1920-04-24,14.084507042253522
1920-04-25,14.084507042253522
1920-04-26,14.084507042253522
1920-04-27,14.084507042253522
1920-04-28,14.084507042253522
1920-04-29,14.084507042253522
1920-04-30,14.084507042253522
1920-05-01,12.72264631043257
1920-05-02,12.72264631043257
1920-05-03,12.72264631043257
1920-05-04,12.72264631043257
1920-05-05,12.72264631043257
1920-05-06,12.72264631043257
1920-05-07,12.72264631043257
1920-05-08,12.72264631043257
1920-05-09,12.72264631043257
1920-05-10,12.72264631043257
1920-05-11,11.37656427758817
1920-05-12,11.37656427758817
1920-05-13,11.37656427758817
1920-05-14,11.37656427758817
1920-05-15,11.37656427758817
1920-05-16,11.37656427758817
1920-05-17,11.37656427758817
1920-05-18,11.37656427758817
1920-05-19,11.37656427758817
1920-05-20,11.37656427758817
1920-05-21,9.082652134423252
1920-05-22,9.082652134423252
